juris,year,count
hamburg,2009,527913
nordrhein-westfalen,1979,135262
nordrhein-westfalen,1965,89150
sachsen-anhalt,2005,254449
rheinland-pfalz,1989,313416
bund,1989,424157
berlin,2017,381068
bund,1998,547630
brandenburg,1999,212406
sachsen-anhalt,2012,337799
nordrhein-westfalen,1970,118581
bund,1986,516777
bund,2002,697165
hessen,1988,191230
bund,1985,606600
sachsen,2009,218288
saarland,2014,131883
bund,2012,856949
rheinland-pfalz,1988,323583
schleswig-holstein,2007,298730
bremen,2017,259974
schleswig-holstein,1996,139327
baden-württemberg,2017,684044
schleswig-holstein,2012,285448
rheinland-pfalz,2015,200828
baden-württemberg,2000,334941
hessen,2007,496427
berlin,2005,798957
nordrhein-westfalen,1972,73145
hessen,1986,177152
niedersachsen,1990,124993
bayern,1981,378965
bund,1994,572239
mecklenburg-vorpommern,2002,92988
nordrhein-westfalen,1966,78584
nordrhein-westfalen,1986,138692
bund,2010,834699
niedersachsen,2010,628166
hamburg,2015,503026
rheinland-pfalz,1998,181677
sachsen-anhalt,2003,245120
bund,1978,357884
sachsen-anhalt,1997,135740
rheinland-pfalz,2002,232684
niedersachsen,2018,679689
thüringen,2016,365243
brandenburg,2008,321010
niedersachsen,1993,221125
bayern,1996,527463
bund,2007,648076
mecklenburg-vorpommern,2001,55596
bund,1983,517212
bayern,2014,396472
rheinland-pfalz,1999,221279
thüringen,2005,411616
sachsen,2001,706158
niedersachsen,1986,329288
baden-württemberg,1995,322202
sachsen-anhalt,2013,360545
bremen,2005,161322
sachsen-anhalt,2002,247389
nordrhein-westfalen,1963,62827
baden-württemberg,2010,669128
saarland,2017,217632
niedersachsen,2013,527159
thüringen,2009,356072
saarland,2018,209837
nordrhein-westfalen,1994,456551
schleswig-holstein,1999,135084
sachsen,1994,336165
sachsen-anhalt,2001,242750
sachsen,2016,1070112
nordrhein-westfalen,2012,670443
rheinland-pfalz,1990,297442
niedersachsen,2001,512888
bayern,1998,380020
schleswig-holstein,2013,312809
berlin,2012,582464
sachsen-anhalt,2017,363750
hessen,2014,547071
mecklenburg-vorpommern,2005,127322
nordrhein-westfalen,1971,59747
bayern,2001,498301
schleswig-holstein,1993,156451
bund,2016,562644
nordrhein-westfalen,2009,510677
bayern,1993,264044
thüringen,2015,547380
bund,2000,704726
niedersachsen,1996,279897
hessen,2017,501105
rheinland-pfalz,2000,173982
nordrhein-westfalen,1976,97469
baden-württemberg,2004,623952
rheinland-pfalz,1987,312509
hessen,2018,681598
bayern,2003,565593
baden-württemberg,1996,360193
rheinland-pfalz,2007,237837
niedersachsen,1998,471001
niedersachsen,2002,510410
hamburg,2005,532125
sachsen,2007,114036
hessen,1983,127165
mecklenburg-vorpommern,2009,238817
nordrhein-westfalen,1982,138428
hamburg,2011,487846
brandenburg,1995,192927
bremen,2002,102601
sachsen,2003,650053
bayern,2007,614916
nordrhein-westfalen,2007,553156
nordrhein-westfalen,1969,85173
nordrhein-westfalen,2014,412295
schleswig-holstein,2014,326329
sachsen,1995,428762
bremen,2014,233923
bayern,2018,656788
bund,2017,610593
bund,1982,505225
hamburg,1999,606988
berlin,1990,305006
thüringen,2018,271917
brandenburg,2000,379627
bund,1987,393328
sachsen,2011,638138
