token,year,count
raf,1993,0.0015030320255132853
nsu,1993,0
raf,1994,0.0011801950697176377
nsu,1994,0
raf,1995,0.0008536439256495396
nsu,1995,0
raf,1996,0.0009968674063881488
nsu,1996,0
raf,1997,0.0007022871447671607
nsu,1997,0
raf,1998,0.0005188820864934013
nsu,1998,0
raf,1999,0.0003319848491640145
nsu,1999,0
raf,2000,0.00017545676635616505
nsu,2000,0
raf,2001,0.00011518694841728125
nsu,2001,0
raf,2002,0.00006943494252216302
nsu,2002,0
raf,2003,0.00011686944457796465
nsu,2003,0
raf,2004,0.0000627981040953335
nsu,2004,0
raf,2005,0.00005839517290901941
nsu,2005,0
raf,2006,0.00004147343814802247
nsu,2006,0
raf,2007,0.00008336493406545367
nsu,2007,0
raf,2008,0.00007312846458128662
nsu,2008,0
raf,2009,0.000030088761847449978
nsu,2009,0
raf,2010,0.000022326848314183408
nsu,2010,0
raf,2011,0.00006501455556135363
nsu,2011,0.00020787548686064387
raf,2012,0.000055561349132131726
nsu,2012,0.00033422288477943853
raf,2013,0.00003864631408632384
nsu,2013,0.0001932315704316192
raf,2014,0.000018746842637029552
nsu,2014,0.000134187926244001
raf,2015,0.00003291567955719749
nsu,2015,0.00009788083657798201
raf,2016,0.00004882355573819182
nsu,2016,0.0000626568965306795
raf,2017,0.000037758520000268505
nsu,2017,0.00004614930222255039
raf,2018,0.00005684779004216211
nsu,2018,0.00011800223084509408
